% Model:              Nankai_mu012_1E10_xsw25-Results.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 18 2026, 03:59
% Dimension:          1
% Nodes:              3379
% Expressions:        1
% Description:        Line graph
% X                       Height
-170                      5.6843418860808015E-14
-169.90008620262333       1.1368683772161603E-13
-169.80017240524666       5.6843418860808015E-14
-169.70025860786998       5.6843418860808015E-14
-169.60034481049325       1.1368683772161603E-13
-169.50043101311655       5.6843418860808015E-14
-169.40051721573985       5.6843418860808015E-14
-169.30060341836318       1.1368683772161603E-13
-169.20068962098648       5.6843418860808015E-14
-169.10077582360978       5.6843418860808015E-14
-169.0008620262331        1.1368683772161603E-13
-168.90094822885638       5.6843418860808015E-14
-168.80103443147968       5.6843418860808015E-14
-168.70112063410303       1.1368683772161603E-13
-168.6012068367263        5.6843418860808015E-14
-168.50129303934963       5.6843418860808015E-14
-168.40137924197296       1.1368683772161603E-13
-168.30146544459626       5.6843418860808015E-14
-168.2015516472196        5.6843418860808015E-14
-168.1016378498429        1.1368683772161603E-13
-168.0017240524662        5.6843418860808015E-14
-167.9018102550895        5.6843418860808015E-14
-167.80189645771281       1.1368683772161603E-13
-167.70198266033614       5.6843418860808015E-14
-167.60206886295944       5.6843418860808015E-14
-167.50215506558277       1.1368683772161603E-13
-167.40224126820604       5.6843418860808015E-14
-167.30232747082934       5.6843418860808015E-14
-167.20241367345267       1.1368683772161603E-13
-167.10249987607594       5.6843418860808015E-14
-167.00258607869927       5.6843418860808015E-14
-166.9026722813226        1.1368683772161603E-13
-166.8027584839459        5.6843418860808015E-14
-166.7028446865692        5.6843418860808015E-14
-166.6029308891925        1.1368683772161603E-13
-166.5030170918158        5.6843418860808015E-14
-166.40310329443912       5.6843418860808015E-14
-166.30318949706245       1.1368683772161603E-13
-166.20327569968575       5.6843418860808015E-14
-166.10336190230908       5.6843418860808015E-14
-166.00344810493237       1.1368683772161603E-13
-165.90353430755565       5.6843418860808015E-14
-165.80362051017897       5.6843418860808015E-14
-165.7037067128023        1.1368683772161603E-13
-165.60379291542563       5.6843418860808015E-14
-165.5038791180489        5.6843418860808015E-14
-165.4039653206722        1.1368683772161603E-13
-165.30405152329553       5.6843418860808015E-14
-165.20413772591883       5.6843418860808015E-14
-165.10422392854215       1.1368683772161603E-13
-165.00431013116543       5.6843418860808015E-14
-164.90439633378875       5.6843418860808015E-14
-164.80448253641208       1.1368683772161603E-13
-164.7045687390354        5.6843418860808015E-14
-164.6046549416587        5.6843418860808015E-14
-164.504741144282         1.1368683772161603E-13
-164.4048273469053        5.6843418860808015E-14
-164.30491354952864       5.6843418860808015E-14
-164.20499975215196       1.1368683772161603E-13
-164.10508595477526       5.6843418860808015E-14
-164.00517215739853       5.6843418860808015E-14
-163.90525836002186       1.1368683772161603E-13
-163.80534456264516       5.6843418860808015E-14
-163.70543076526846       5.6843418860808015E-14
-163.6055169678918        1.1368683772161603E-13
-163.5056031705151        5.6843418860808015E-14
-163.4056893731384        5.6843418860808015E-14
-163.30577557576171       1.1368683772161603E-13
-163.205861778385         5.6843418860808015E-14
-163.1059479810083        5.6843418860808015E-14
-163.0060341836316        1.1368683772161603E-13
-162.9061203862549        5.6843418860808015E-14
-162.80620658887824       5.6843418860808015E-14
-162.70629279150157       1.1368683772161603E-13
-162.60637899412487       5.6843418860808015E-14
-162.50646519674817       5.6843418860808015E-14
-162.4065513993715        1.1368683772161603E-13
-162.3066376019948        5.6843418860808015E-14
-162.20672380461812       5.6843418860808015E-14
-162.10681000724145       1.1368683772161603E-13
-162.0068962098647        5.6843418860808015E-14
-161.90698241248802       5.6843418860808015E-14
-161.80706861511135       1.1368683772161603E-13
-161.70715481773465       5.6843418860808015E-14
-161.60724102035795       5.6843418860808015E-14
-161.50732722298127       1.1368683772161603E-13
-161.40741342560455       5.6843418860808015E-14
-161.30749962822787       5.6843418860808015E-14
-161.2075858308512        1.1368683772161603E-13
-161.1076720334745        5.6843418860808015E-14
-161.00775823609783       5.6843418860808015E-14
-160.90784443872113       1.1368683772161603E-13
-160.8079306413444        5.6843418860808015E-14
-160.70801684396773       5.6843418860808015E-14
-160.60810304659105       1.1368683772161603E-13
-160.50818924921438       5.6843418860808015E-14
-160.40827545183768       5.6843418860808015E-14
-160.308361654461         1.1368683772161603E-13
-160.2084478570843        5.6843418860808015E-14
-160.1085340597076        5.6843418860808015E-14
-160.00862026233094       1.1368683772161603E-13
-159.9087064649542        5.6843418860808015E-14
-159.8087926675775        5.6843418860808015E-14
-159.70887887020083       1.1368683772161603E-13
-159.60896507282416       5.6843418860808015E-14
-159.50905127544746       5.6843418860808015E-14
-159.40913747807076       1.1368683772161603E-13
-159.30922368069406       5.6843418860808015E-14
-159.20930988331736       5.6843418860808015E-14
-159.1093960859407        1.1368683772161603E-13
-159.00948228856402       5.6843418860808015E-14
-158.90956849118731       5.6843418860808015E-14
-158.80965469381061       1.1368683772161603E-13
-158.7097408964339        5.6843418860808015E-14
-158.6098270990572        5.6843418860808015E-14
-158.50991330168054       1.1368683772161603E-13
-158.40999950430384       5.6843418860808015E-14
-158.31008570692714       5.6843418860808015E-14
-158.21017190955047       1.1368683772161603E-13
-158.11025811217377       5.6843418860808015E-14
-158.01034431479707       5.6843418860808015E-14
-157.91043051742037       1.1368683772161603E-13
-157.81051672004367       5.6843418860808015E-14
-157.710602922667         5.6843418860808015E-14
-157.61068912529032       1.1368683772161603E-13
-157.51077532791365       5.6843418860808015E-14
-157.41086153053698       5.6843418860808015E-14
-157.31094773316028       1.1368683772161603E-13
-157.21103393578358       5.6843418860808015E-14
-157.11112013840687       5.6843418860808015E-14
-157.0112063410302        1.1368683772161603E-13
-156.91129254365353       5.6843418860808015E-14
-156.8113787462768        5.6843418860808015E-14
-156.7114649489001        1.1368683772161603E-13
-156.6115511515234        5.6843418860808015E-14
-156.5116373541467        5.6843418860808015E-14
-156.41172355677003       1.1368683772161603E-13
-156.3118097593933        5.6843418860808015E-14
-156.21189596201663       5.6843418860808015E-14
-156.11198216463995       1.1368683772161603E-13
-156.01206836726325       5.6843418860808015E-14
-155.91215456988658       5.6843418860808015E-14
-155.81224077250988       1.1368683772161603E-13
-155.7123269751332        5.6843418860808015E-14
-155.6124131777565        5.6843418860808015E-14
-155.51249938037984       1.1368683772161603E-13
-155.41258558300314       5.6843418860808015E-14
-155.31267178562643       5.6843418860808015E-14
-155.21275798824976       1.1368683772161603E-13
-155.11284419087306       5.6843418860808015E-14
-155.01293039349636       5.6843418860808015E-14
-154.9130165961197        1.1368683772161603E-13
-154.81310279874296       5.6843418860808015E-14
-154.7131890013663        5.6843418860808015E-14
-154.6132752039896        1.1368683772161603E-13
-154.5133614066129        5.6843418860808015E-14
-154.4134476092362        5.6843418860808015E-14
-154.3135338118595        1.1368683772161603E-13
-154.2136200144828        5.6843418860808015E-14
-154.11370621710614       5.6843418860808015E-14
-154.01379241972947       1.1368683772161603E-13
-153.91387862235277       5.6843418860808015E-14
-153.8139648249761        5.6843418860808015E-14
-153.71405102759937       1.1368683772161603E-13
-153.6141372302227        5.6843418860808015E-14
-153.514223432846         5.6843418860808015E-14
-153.4143096354693        1.1368683772161603E-13
-153.31439583809262       5.6843418860808015E-14
-153.2144820407159        5.6843418860808015E-14
-153.11456824333922       1.1368683772161603E-13
-153.01465444596252       5.6843418860808015E-14
-152.91474064858582       5.6843418860808015E-14
-152.81482685120915       1.1368683772161603E-13
-152.71491305383245       5.6843418860808015E-14
-152.61499925645577       5.6843418860808015E-14
-152.5150854590791        1.1368683772161603E-13
-152.4151716617024        5.6843418860808015E-14
-152.31525786432573       5.6843418860808015E-14
-152.21534406694903       1.1368683772161603E-13
-152.11543026957233       5.6843418860808015E-14
-152.01551647219563       5.6843418860808015E-14
-151.91560267481896       1.1368683772161603E-13
-151.81568887744228       5.6843418860808015E-14
-151.71577508006555       5.6843418860808015E-14
-151.61586128268888       1.1368683772161603E-13
-151.51594748531218       5.6843418860808015E-14
-151.41603368793548       5.6843418860808015E-14
-151.31611989055878       1.1368683772161603E-13
-151.21620609318208       5.6843418860808015E-14
-151.11629229580538       5.6843418860808015E-14
-151.0163784984287        1.1368683772161603E-13
-150.916464701052         5.6843418860808015E-14
-150.81655090367533       5.6843418860808015E-14
-150.71663710629863       1.1368683772161603E-13
-150.61672330892196       5.6843418860808015E-14
-150.51680951154526       5.6843418860808015E-14
-150.4168957141686        1.1368683772161603E-13
-150.3169819167919        5.6843418860808015E-14
-150.2170681194152        5.6843418860808015E-14
-150.11715432203852       1.1368683772161603E-13
-150.01724052466182       5.6843418860808015E-14
-149.91732672728511       5.6843418860808015E-14
-149.81741292990844       1.1368683772161603E-13
-149.7174991325317        5.6843418860808015E-14
-149.61758533515504       5.6843418860808015E-14
-149.51767153777834       1.1368683772161603E-13
-149.41775774040167       5.6843418860808015E-14
-149.31784394302497       5.6843418860808015E-14
-149.2179301456483        1.1368683772161603E-13
-149.11801634827157       5.6843418860808015E-14
-149.01810255089487       5.6843418860808015E-14
-148.9181887535182        1.1368683772161603E-13
-148.8182749561415        5.6843418860808015E-14
-148.71836115876482       5.6843418860808015E-14
-148.61844736138812       1.1368683772161603E-13
-148.51853356401142       5.6843418860808015E-14
-148.41861976663472       5.6843418860808015E-14
-148.31870596925805       1.1368683772161603E-13
-148.21879217188138       5.6843418860808015E-14
-148.11887837450467       5.6843418860808015E-14
