% Model:              Japan_mu016_1E12_xsw0.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 18 2026, 04:22
% Dimension:          1
% Nodes:              4189
% Expressions:        1
% Description:        Line graph
% X                       Height
-249.99999999999997       6.821210263296962E-13
-249.9114801948843        4.547473508864641E-13
-249.82296038976864       2.8421709430404007E-13
-249.734440584653         5.6843418860808015E-14
-249.63615455212195       1.1368683772161603E-13
-249.5378685195909        5.6843418860808015E-14
-249.43958248705982       5.6843418860808015E-14
-249.33972936112275       1.1368683772161603E-13
-249.2398762351856        5.6843418860808015E-14
-249.1400231092485        5.6843418860808015E-14
-249.04014929034963       1.1368683772161603E-13
-248.94027547145072       5.6843418860808015E-14
-248.84040165255178       5.6843418860808015E-14
-248.7405276062474        1.1368683772161603E-13
-248.64065355994296       5.6843418860808015E-14
-248.54077951363857       5.6843418860808015E-14
-248.44090523996542       1.1368683772161603E-13
-248.34103096629227       5.6843418860808015E-14
-248.2411566926191        5.6843418860808015E-14
-248.1412821915602        1.1368683772161603E-13
-248.04140769050125       5.6843418860808015E-14
-247.9415331894423        5.6843418860808015E-14
-247.84165846092029       1.1368683772161603E-13
-247.74178373239818       5.6843418860808015E-14
-247.64190900387612       5.6843418860808015E-14
-247.54203404795746       1.1368683772161603E-13
-247.44215909203876       5.6843418860808015E-14
-247.3422841361201        5.6843418860808015E-14
-247.24240895290015       1.1368683772161603E-13
-247.1425337696802        5.6843418860808015E-14
-247.04265858646025       5.6843418860808015E-14
-246.9427831757763        1.1368683772161603E-13
-246.84290776509232       5.6843418860808015E-14
-246.74303235440837       5.6843418860808015E-14
-246.64315671626338       1.1368683772161603E-13
-246.54328107811838       5.6843418860808015E-14
-246.44340543997336       5.6843418860808015E-14
-246.34352957450304       1.1368683772161603E-13
-246.24365370903269       5.6843418860808015E-14
-246.14377784356236       5.6843418860808015E-14
-246.0439017506431        1.1368683772161603E-13
-245.94402565772378       5.6843418860808015E-14
-245.84414956480452       5.6843418860808015E-14
-245.7442732444843        1.1368683772161603E-13
-245.64439692416408       5.6843418860808015E-14
-245.5445206038439        5.6843418860808015E-14
-245.44464405613905       1.1368683772161603E-13
-245.3447675084342        5.6843418860808015E-14
-245.2448909607294        5.6843418860808015E-14
-245.1450141855696        1.1368683772161603E-13
-245.0451374104098        5.6843418860808015E-14
-244.94526063525004       5.6843418860808015E-14
-244.84538363268553       1.1368683772161603E-13
-244.745506630121         5.6843418860808015E-14
-244.64562962755647       5.6843418860808015E-14
-244.54575239759038       1.1368683772161603E-13
-244.44587516762425       5.6843418860808015E-14
-244.3459979376581        5.6843418860808015E-14
-244.2461204803059        1.1368683772161603E-13
-244.14624302295363       5.6843418860808015E-14
-244.04636556560143       5.6843418860808015E-14
-243.94648788085408       1.1368683772161603E-13
-243.84661019610672       5.6843418860808015E-14
-243.74673251135943       5.6843418860808015E-14
-243.6468545991608        1.1368683772161603E-13
-243.54697668696218       5.6843418860808015E-14
-243.4470987747636        5.6843418860808015E-14
-243.34722063515323       1.1368683772161603E-13
-243.2473424955429        5.6843418860808015E-14
-243.14746435593253       5.6843418860808015E-14
-243.04758598893625       1.1368683772161603E-13
-242.9477076219399        5.6843418860808015E-14
-242.84782925494363       5.6843418860808015E-14
-242.74795066055123       1.1368683772161603E-13
-242.64807206615882       5.6843418860808015E-14
-242.5481934717664        5.6843418860808015E-14
-242.44831464997654       1.1368683772161603E-13
-242.34843582818664       5.6843418860808015E-14
-242.2485570063967        5.6843418860808015E-14
-242.14867795713914       1.1368683772161603E-13
-242.0487989078815        5.6843418860808015E-14
-241.9489198586239        5.6843418860808015E-14
-241.84904058196977       1.1368683772161603E-13
-241.74916130531562       5.6843418860808015E-14
-241.64928202866153       5.6843418860808015E-14
-241.54940252461          1.1368683772161603E-13
-241.44952302055847       5.6843418860808015E-14
-241.34964351650697       5.6843418860808015E-14
-241.24976378505312       1.1368683772161603E-13
-241.1498840535992        5.6843418860808015E-14
-241.05000432214533       5.6843418860808015E-14
-240.95012436322637       1.1368683772161603E-13
-240.85024440430735       5.6843418860808015E-14
-240.75036444538839       5.6843418860808015E-14
-240.65048425905775       1.1368683772161603E-13
-240.55060407272708       5.6843418860808015E-14
-240.45072388639642       5.6843418860808015E-14
-240.35084347275222       1.1368683772161603E-13
-240.25096305910802       5.6843418860808015E-14
-240.1510826454638        5.6843418860808015E-14
-240.05120200427572       1.1368683772161603E-13
-239.95132136308763       5.6843418860808015E-14
-239.85144072189956       5.6843418860808015E-14
